排名,书名,作者,出版社,价格
1.,跟着诗词去旅行 少年游学地理百科,日知图书,日知图书,¥9.90
2.,漫画讲透黄帝内经 十二时辰养生智慧 二十四节气养生智慧 中医八大...,张嘉铭,王婧,¥12.60
3.,敖丙传（壹）哪吒魔童闹海和魔童降世电影中敖丙与哪吒相遇前的故...,二斯特洛夫斯基,华文天下,¥28.00
4.,青铜葵花（曹文轩正版小说无删减版，7-8-9-10-12岁小学课外阅读推...,曹文轩,曹文轩,¥9.90
5.,青春期男孩教育书籍青春期男孩枕边书10-18岁青春期男孩成长手册男...,青蓝图书,青蓝图书,¥49.80
6.,被讨厌的勇气,岸��一郎,古�R史健,¥43.40
7.,俗世奇人（足本）（《语文》推荐阅读丛书）人民文学出版社,冯骥才,冯骥才,¥26.90
8.,小刺猬阿奈家的24小时,曾荷丽,曾荷丽,¥32.00
9.,全2册 意林成长卷：奔走在自己的热爱里+何以为青春,意林编辑部,意林编辑部,¥49.80
10.,如果历史是一群喵15・大清风云篇,肥志,漫友文化出品,¥32.00
11.,悉达多（心动的信号7彭高翁青雅同款，翻译家姜乙译本）【果麦经典...,赫尔曼・黑塞,果麦文化,¥29.10
12.,二千年间 一本书读懂秦朝以来中国两千年历史,胡绳,凤凰含章出品,¥18.20
13.,见春天（新增番外《见答案》！总收藏量超35万、点击量破千万！晋...,纵虎嗅花,纵虎嗅花,¥42.80
14.,毛泽东选集（全四册，32开）,毛泽东,毛泽东,¥56.70
15.,兜底（当当专享印签版+能量书签。修炼为自己撑腰的能力！写给所有...,晴山,时代华语,¥29.90
16.,理解人性： 阿德勒心理学经典 真正厉害的人都是布局高手,阿尔弗雷德・阿德勒◎,博雅◎,¥36.00
17.,青春期女孩教育书籍青春期女孩枕边书10-18岁妈妈送给青春期女儿私...,青蓝图书,青蓝图书,¥18.80
18.,蛤蟆先生去看心理医生（热销500万册！英国经典心理咨询入门书，知...,罗伯特・戴博德,果麦文化,¥30.00
19.,窄门（诺贝尔文学奖经典 读完《窄门》便读懂了纪德的一生 法文直...,安德烈・纪德,果麦文化,¥41.00
20.,愿你可以自在张扬（野生艺术家刘开心，献给所有不愿放弃的人，一...,刘开心,磨铁文化,¥36.90
